"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.901358923E0,6.850000024E-1,1.159999967E-1,3.140000105E-1,7.624152471E-1
1.911095846E0,8.050000072E-1,2.389999926E-1,4.740000069E-1,9.642727905E-1
1.920832769E0,8.759999871E-1,3.630000055E-1,7.369999886E-1,1.200963765E0
1.930569463E0,9.720000029E-1,3.700000048E-1,8.610000014E-1,1.350187028E0
1.940306384E0,1.072999954E0,3.560000062E-1,9.120000005E-1,1.452518126E0
1.950043308E0,1.197000027E0,2.610000074E-1,9.670000076E-1,1.560775154E0
1.959780146E0,1.315000057E0,1.319999993E-1,1.024000049E0,1.671892715E0
1.969517067E0,1.286000013E0,1.110000014E-1,9.589999914E-1,1.608041672E0
1.979254014E0,1.281000018E0,1.080000028E-1,9.210000038E-1,1.581412677E0
1.988990698E0,1.246000051E0,1.190000027E-1,9.150000215E-1,1.550452246E0
1.998727595E0,1.166000009E0,1.630000025E-1,9.309999943E-1,1.500961695E0
2.008464519E0,1.115000010E0,1.990000010E-1,9.850000143E-1,1.501016672E0
2.018201433E0,1.067000031E0,2.249999940E-1,1.001000047E0,1.480241588E0
2.027938271E0,1.059999943E0,2.099999934E-1,1.014999986E0,1.482539998E0
2.037674963E0,1.097000003E0,1.420000046E-1,1.031000018E0,1.512128978E0
2.047412129E0,1.175999999E0,6.599999964E-2,1.054000020E0,1.580584715E0
2.057148823E0,1.258999944E0,-4.500000179E-2,1.052999973E0,1.641924116E0
2.066885739E0,1.345999956E0,-1.439999938E-1,1.027999997E0,1.699775242E0
2.076622588E0,1.394999981E0,-2.700000107E-1,9.729999900E-1,1.722107410E0
2.086359586E0,1.406999946E0,-3.499999940E-1,9.440000057E-1,1.730111226E0
2.096096434E0,1.442999959E0,-4.189999998E-1,9.179999828E-1,1.760833283E0
2.105833126E0,1.427999973E0,-4.779999852E-1,8.460000157E-1,1.727247503E0
2.115570047E0,1.419999957E0,-5.279999971E-1,7.360000014E-1,1.684303974E0
2.125306961E0,1.470999956E0,-6.050000191E-1,5.970000029E-1,1.698904028E0
2.135043884E0,1.518000007E0,-6.600000262E-1,4.670000076E-1,1.719887514E0
2.144780713E0,1.592000008E0,-6.869999766E-1,3.039999902E-1,1.760354790E0
2.154517634E0,1.643000007E0,-6.570000052E-1,1.420000046E-1,1.775179436E0
2.164254553E0,1.659999967E0,-6.179999709E-1,-5.799999833E-2,1.772255019E0
2.173991247E0,1.590000033E0,-5.609999895E-1,-2.360000014E-1,1.702503185E0
2.183728168E0,1.478999972E0,-5.009999871E-1,-4.370000064E-1,1.621545840E0
