"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.801026211E0,-1.934999943E0,-4.029999971E-1,1.959999949E-1,1.986214937E0
1.810763824E0,-1.973999977E0,-5.669999719E-1,-2.630000114E-1,2.070587811E0
1.820501592E0,-2.048000097E0,-6.790000200E-1,-8.240000010E-1,2.309614995E0
1.830239209E0,-2.114000082E0,-7.310000062E-1,-1.445000052E0,2.662964984E0
1.839976976E0,-2.194999933E0,-5.849999785E-1,-1.871000051E0,2.942939156E0
1.849714584E0,-2.286999941E0,-4.530000091E-1,-2.145999908E0,3.168736869E0
1.859452351E0,-2.296999931E0,-3.779999912E-1,-2.292000055E0,3.266857348E0
1.869190197E0,-2.269000053E0,-2.919999957E-1,-2.265000105E0,3.219293512E0
1.878927738E0,-2.198999882E0,-2.919999957E-1,-2.312000036E0,3.204092484E0
1.888665582E0,-2.130000114E0,-3.059999943E-1,-2.388999939E0,3.215253830E0
1.898403122E0,-2.188999891E0,-3.810000122E-1,-2.369999886E0,3.248658337E0
1.908140961E0,-2.259000063E0,-4.769999981E-1,-2.061000109E0,3.094888000E0
1.917878502E0,-2.255000114E0,-4.480000138E-1,-1.534000039E0,2.763853406E0
1.927616365E0,-2.177000046E0,-3.510000110E-1,-1.172999978E0,2.497690765E0
1.937353982E0,-2.114000082E0,-2.599999905E-1,-9.750000238E-1,2.342481886E0
1.947091545E0,-2.019000053E0,-1.140000001E-1,-7.910000086E-1,2.171413878E0
1.956829404E0,-1.958999991E0,2.090000063E-1,-7.070000172E-1,2.093134251E0
1.966567177E0,-2.019999981E0,4.920000136E-1,-1.164999962E0,2.383209778E0
1.976304795E0,-2.013000011E0,6.349999905E-1,-1.819000006E0,2.786423345E0
1.986042352E0,-2.230999947E0,8.930000067E-1,-2.217000008E0,3.269541070E0
1.995780119E0,-2.434000015E0,1.011000037E0,-2.075999975E0,3.355033986E0
2.005517728E0,-2.523999929E0,9.089999795E-1,-1.271999955E0,2.968979706E0
2.015255499E0,-2.575999975E0,6.809999943E-1,-4.500000179E-2,2.664875581E0
2.024993117E0,-2.581000090E0,3.459999859E-1,1.437000036E0,2.974264036E0
2.034730914E0,-2.667000055E0,2.199999988E-2,2.944999933E0,3.973210025E0
2.044468531E0,-2.749000072E0,-3.650000095E-1,4.234000206E0,5.061322372E0
2.054206308E0,-2.832000017E0,-7.839999795E-1,5.092999935E0,5.879925884E0
2.063943926E0,-2.709000111E0,-1.169999957E0,5.493000031E0,6.235433492E0
2.073681707E0,-2.263999939E0,-1.276000023E0,5.650000095E0,6.219033113E0
2.083419325E0,-1.896999955E0,-9.929999709E-1,5.150000095E0,5.577379201E0
2.093157111E0,-1.853999972E0,-6.449999809E-1,3.891000032E0,4.358121399E0
2.102894728E0,-1.810999990E0,-3.759999871E-1,2.517999887E0,3.124327189E0
2.112632505E0,-1.631999969E0,-2.090000063E-1,1.467000008E0,2.204357939E0
2.122370352E0,-1.332000017E0,-8.100000024E-2,7.549999952E-1,1.533235154E0
2.132107901E0,-1.139000058E0,-1.000000047E-3,1.529999971E-1,1.149230669E0
2.141845517E0,-1.131999969E0,4.999999888E-3,-5.120000243E-1,1.242414164E0
2.151583299E0,-1.253999949E0,-4.699999839E-2,-1.332999945E0,1.830741304E0
2.161320916E0,-1.368999958E0,-2.450000048E-1,-2.184000015E0,2.589216475E0
2.171058697E0,-1.373999953E0,-4.600000083E-1,-2.987999916E0,3.320785958E0
