"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.273024057E0,-1.899999939E-2,-2.400000021E-2,-9.399999678E-2,9.885848159E-2
2.282760990E0,-4.100000113E-2,3.599999845E-2,-1.080000028E-1,1.210000024E-1
2.292497608E0,-3.799999878E-2,4.800000042E-2,-1.099999994E-1,1.258888391E-1
2.302234314E0,-1.200000010E-2,3.799999878E-2,-1.099999994E-1,1.169957255E-1
2.311971158E0,-4.999999888E-3,1.400000043E-2,-8.699999750E-2,8.826097425E-2
2.321707863E0,-1.700000092E-2,1.400000043E-2,-1.400000043E-2,2.609597777E-2
2.331444707E0,-2.899999917E-2,-8.000000380E-3,7.100000232E-2,7.711031246E-2
2.341181386E0,-8.999999613E-3,-3.700000048E-2,1.230000034E-1,1.287594690E-1
2.350918001E0,2.000000095E-3,-4.899999872E-2,1.560000032E-1,1.635267589E-1
2.360654856E0,-1.000000047E-3,-2.999999933E-2,1.700000018E-1,1.726296631E-1
2.370391550E0,-1.600000076E-2,-4.999999888E-3,1.659999937E-1,1.668442325E-1
2.380128365E0,8.000000380E-3,1.300000027E-2,1.400000006E-1,1.408296850E-1
2.389865059E0,5.700000003E-2,2.199999988E-2,5.999999866E-2,8.563293664E-2
2.399601889E0,5.799999833E-2,2.700000070E-2,-1.300000027E-2,6.528399384E-2
2.409338583E0,6.499999762E-2,3.500000015E-2,-2.199999988E-2,7.703245871E-2
2.419075427E0,6.400000304E-2,2.899999917E-2,1.099999994E-2,7.111961993E-2
2.428812045E0,5.900000036E-2,-8.999999613E-3,2.500000037E-2,6.470703249E-2
2.438548735E0,2.600000054E-2,-4.100000113E-2,0.000000000E0,4.854894562E-2
2.448285581E0,-3.900000080E-2,-4.899999872E-2,-4.999999888E-3,6.282515369E-2
2.458022294E0,-6.700000167E-2,-4.300000146E-2,-2.199999988E-2,8.259540147E-2
2.467759139E0,-6.899999827E-2,-2.800000086E-2,-1.700000092E-2,7.638062478E-2
2.477495824E0,-3.700000048E-2,-3.299999982E-2,-3.000000026E-3,4.966890399E-2
2.487232439E0,-4.399999976E-2,-1.099999994E-2,-1.999999955E-2,4.956813452E-2
2.496969278E0,-7.000000030E-2,0.000000000E0,-1.099999994E-2,7.085901524E-2
2.506705982E0,-8.500000089E-2,-8.000000380E-3,-1.099999994E-2,8.608135778E-2
