"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.674179760E0,-1.289999932E-1,1.799999923E-2,1.350000054E-1,1.875899775E-1
1.683916372E0,-1.379999965E-1,2.800000086E-2,8.900000155E-2,1.665803091E-1
1.693653077E0,-1.209999993E-1,3.099999949E-2,6.400000304E-2,1.403495643E-1
1.703389923E0,-1.150000021E-1,2.899999917E-2,9.899999946E-2,1.544894829E-1
1.713126622E0,-1.070000008E-1,2.899999917E-2,1.030000001E-1,1.513241558E-1
1.722863237E0,-1.190000027E-1,1.200000010E-2,1.089999974E-1,1.618208889E-1
1.732600087E0,-1.420000046E-1,6.000000052E-3,1.309999973E-1,1.932899392E-1
1.742336704E0,-1.239999980E-1,2.400000021E-2,1.659999937E-1,2.085857076E-1
1.752073394E0,-1.289999932E-1,3.400000185E-2,2.029999942E-1,2.429114983E-1
1.761810241E0,-1.230000034E-1,3.500000015E-2,2.509999871E-1,2.817001853E-1
1.771546834E0,-1.129999980E-1,3.700000048E-2,3.479999900E-1,3.677526242E-1
1.781283524E0,-1.420000046E-1,6.499999762E-2,4.169999957E-1,4.452841760E-1
1.791020365E0,-1.059999987E-1,3.599999845E-2,4.110000134E-1,4.259730163E-1
1.800756983E0,-7.400000095E-2,-1.300000027E-2,3.650000095E-1,3.726526628E-1
1.810493659E0,-7.800000161E-2,-9.099999815E-2,2.489999980E-1,2.763439866E-1
1.820230500E0,-5.799999833E-2,-1.749999970E-1,9.099999815E-2,2.055966888E-1
1.829967195E0,-7.699999958E-2,-1.529999971E-1,-5.200000107E-2,1.790027910E-1
1.839703810E0,-7.800000161E-2,-1.499999966E-2,-1.410000026E-1,1.618332505E-1
1.849440426E0,-5.999999866E-2,9.200000018E-2,-2.259999961E-1,2.512767361E-1
1.859177347E0,9.999999776E-3,1.239999980E-1,-2.840000093E-1,3.100516163E-1
1.868913954E0,9.399999678E-2,7.800000161E-2,-2.240000069E-1,2.551391831E-1
1.878650798E0,1.379999965E-1,1.799999923E-2,-1.669999957E-1,2.173867466E-1
1.888387411E0,1.480000019E-1,-5.400000140E-2,-1.430000067E-1,2.127651349E-1
1.898124101E0,1.640000045E-1,-8.200000226E-2,-9.000000358E-2,2.042547490E-1
1.907860952E0,1.899999976E-1,-8.100000024E-2,-2.600000054E-2,2.081754048E-1
1.917597646E0,2.039999962E-1,-1.089999974E-1,1.099999994E-2,2.315556043E-1
1.927334262E0,1.659999937E-1,-1.289999932E-1,4.500000179E-2,2.149930146E-1
1.937071106E0,1.059999987E-1,-1.260000020E-1,4.800000042E-2,1.715109334E-1
1.946807781E0,6.899999827E-2,-1.120000035E-1,5.900000036E-2,1.441735086E-1
1.956544397E0,4.100000113E-2,-1.159999967E-1,5.499999970E-2,1.347664620E-1
1.966281250E0,4.699999839E-2,-1.180000007E-1,6.400000304E-2,1.422286905E-1
1.976017949E0,3.000000026E-3,-7.900000364E-2,4.699999839E-2,9.197282437E-2
1.985754560E0,-3.599999845E-2,-5.400000140E-2,-4.000000190E-3,6.502307314E-2
1.995491404E0,-2.500000037E-2,-7.500000298E-2,-4.100000113E-2,8.905616519E-2
2.005228084E0,-2.700000070E-2,-6.499999762E-2,2.800000086E-2,7.574958598E-2
2.014964928E0,-6.300000101E-2,-1.700000092E-2,1.159999967E-1,1.330939495E-1
2.024701522E0,-5.099999905E-2,9.999999776E-3,9.200000018E-2,1.056645633E-1
2.034438212E0,-1.700000092E-2,8.000000380E-3,3.900000080E-2,4.328972280E-2
2.044174830E0,1.700000092E-2,-1.999999955E-2,5.400000140E-2,6.004165358E-2
2.053911678E0,1.899999939E-2,-3.799999878E-2,9.200000018E-2,1.013360741E-1
2.063648372E0,2.099999972E-2,-4.600000009E-2,5.700000003E-2,7.619711280E-2
2.073385197E0,4.000000190E-3,-5.999999866E-2,-3.599999845E-2,7.008565994E-2
2.083121815E0,9.999999776E-3,-7.299999893E-2,-6.899999827E-2,1.009455279E-1
